,desc,plus_rev,minus_rev,comment_rev
309," Prius, 1999 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичный, очень малый радиус разворота, очень широко открывающаяся дверь. Много места в салоне.","Не складываются задние сидения, годы...",
310," Prius, 2013 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Прыткий, экономный",,
311," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичный, очень надежный.",Низкий клиренс,Не было
312," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 S ",Экономичный автомобиль,Низкий,
313," Prius, 1999 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Тепло, заводится в любой мороз, экономичный",Отсутствуют,
314," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономичный, ходовая часть крепкая для такого класса",Шумоизоляция салона,Небыло
315," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономичность,,
316," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичная и приемистая,Низкий клиренс,Неисправность шлейфа руля на 100.000 км
317," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономный,Нет,Нет
318," Prius, 1999 год, 1500 куб. см., Бензин, Автомат, Передний привод ",чистый ухоженый салон.все обслужено.много вложено на установку оборудования.авто сел и поехал в ближайщие годы только масло менять.,авто для спокойной городской езды.разгон постепенный так как не автомат и не коробка.,
319," Prius, 2006 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичный, комфортный",Низкий клиренс,Ничего
320," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономный не ломается,Свет ближний вялый.,
321," Prius, 2011 год, 1800 куб. см. ",Экономичность,Пластик салона,
322," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Хороший,,
323," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономичный,Минусов не было,Ничего
324," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономисность ,Замечание по кузову ,Нет неисправностей 
325," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",расход бензина,год,нет
326," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Комфортабельность и экономичность,Расход масла в зимнее время,Нет никаких
327," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Кузов,Салон,Ничего
328," Prius, 2014 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Эргономика салона, расход, надежность, респектабельный вид вообще классный авто.","Клиренс, отсутствие полного привода (лично для меня).",Поломок не было (кроме дтп) 
329," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичный,комфортабельный",,
330," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Не ломается,мало расходует топлива",Некрасивая  передняя часть,"Только передний подшипник ступицы,два раза"
331," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичность,Ничего,Ничего
332," Prius, 1998 год, 1500 куб. см., Бензин, Автомат, Передний привод ","экономичный, не прихотливый","нужно ездить постоянно, для заряда батареи",выходила из строя батарея
333," Prius, 2016 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономичный, технологичный, стильный, современный ",Низковат,Нет
334," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономия,Шумоизоляция,
335," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",экономия топлива,шумоизоляция,
336," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Резвый, экономичный авто","Салон дубовый, все гремит",
337," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономия,,
338," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Расход топлива,Низкая проходимость,
339," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 S standard package ",Экономичная,,
340," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономный,Низкий,
341," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичная,,
342," Prius, 2004 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономичная.,Жестковата.,Ошибка ввб.
343," Prius, 2007 год, 1600 куб. см., Бензин, Автомат ",Гибрид,,
344," Prius, 2001 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 G ",Новый двигатель,,
345," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Расход, наличие запчастей, в общем удобная машина",Низкая,Не было
346," Prius, 2005 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Малый расход,Нравится всё,Датчик маф
347," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ","за пять лет ни одной проблемы, один раз ломалась печка, но быстро и дешево решили вопрос. идеальный беспроблемный автомобиль",нет 4вд,
348," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","расход радует. очень хорошо показал себя на заводку зимой,проблем вообще не было.",маленький багажник.широкие стойки передние мешают обзору.клиренс низковат.,ступицы по правой стороне загудели пришлось менять.замена привода левого.накрылся сенсор нп мультимедиа(все показывал.но на нажатия на экран не реагировал)
349," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономия топлива,Салон пластиковый,Батарею
350," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 S ",,Недостатки по кузову,
351," Prius, 2013 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Хороший авто, рекомендую",Шумоизоляция,Не обнаружено 
352," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Хороший семейный, экономичный автомобиль",,
353," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономичный,Ничего,
354," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичность. Экологичность. Без проблемный неубиваемый авто.,Низковат. В холод дребежжит салон. ,"На 180 тысячас попросились резинки стабилизатора, сайленты и колодки. Всё."
355," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ",,Неисправна основная батарея,
356," Prius, 1998 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Расход комфорт,Старость,Подвеску
357," Prius, 2010 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 EX ",,,Батарея
358," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Радует расход топлива,Очень низкий клиренс,
359," Prius, 2011 год, 1800 куб. см., Гибрид, Автомат, Передний привод, S ","Экономичность, дизайн, просторный салон, надёжность. Динамика с функцией POWER  отличная.",Жестковат.,Брал без пробега по РФ. За 50 000 моего пробега только расходники.
360," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Низкий расход
Почти не убиваемая подвеска",Скрипит приборная панель (шумка в помощь),
361," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Маневренность. Экономичность.,Низкая,Не было
362," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Одни плюсы,Нет минусов,Нет неисправностей
363," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Неприхотливая машина, проблем с гибридной установкой и двс небыло.","Шумно в салоне, мало места. Автомобиль для семьи из 2х человек.","Замена задних ступичных подшипников один на пробеге около 200тк, другой около 220тк, замена передней стойки на 230тк. И все за 5 лет эксплуатации."
364," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономия, и не только на топливе)",Клиренс,
365," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 S 10th anniversary edition ","Экономичный
Просторный",Нет,
366," Prius, 1998 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономичный,Рулевая рейка слабая,Небыло
367," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 S ",Легко заводиться в мороз,,
368," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономичный,Не буксует,Нет серьезных
369," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 S ",Экономичный,,
370," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичный, вместительный",Нет,Нет
371," Prius, 2005 год, 1500 куб. см., Бензин, Автомат, Передний привод ",,,Жрет масло
372," Prius, 2005 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Машина очень хорошая,Зимой буксует,Рулевая рейка
373," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 EX ",Экономика,,
374," Prius, 2006 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Маленький расход!,,
375," Prius, 1999 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Расход,Нету,Замена бамбука
376," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономия бензина,Нет,"Хрустел привод,на 190т.км"
377," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичность. Бодрая динамика для 1.5 двигателя. Беспроблемная эксплуатация, если всё делать вовремя. За почти 60 тысяч пробега в РФ менял лишь стойки и пыльники.",Низкий клиренс. Защита двигателя обязательна с нашими дорогами. Проставки тоже не лишние.,"Только стойки, колодки и замена жидкостей по регламенту."
378," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Абсолютный лидер в бюджетном классе,"Минус не автомобиля, а ремонтников, которые всякими страшилками пытаются побольше денег сорвать с владельцев. Будьте внимательны и обслуживайтесь только у проверенных людей",Только расходники
379," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Комфортно, вместительно, двигатель масло не ест",Нет,За 3 года эксплуатации поменял передние линки и пыльник левый.
380," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 CVT ",Экономичен,Низкий,Замена ступичных подшипников
381," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Крайне надёжен при нормальном обслуживании, не дорогой в содержании, хорошая комплектация даже в базе, экономичен!","водителю с ростом 190+ будет маловат, комфортно только на коротких поездках по городу. Руль по вылету не регулируется.",
382," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Расход, вместительный салон",Шумоизоляция (устраняемо),
383," Prius, 2006 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономичный,,
384," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Малый расход, относительно хорошая комплектация, кузов хэтчбек(вместительней чем сидан), хорошая доступность запчастей, отличные тормоза, заводится в любой мороз.","Умерает помпа инвертора( можно проглядеть и перегреть инвертор), частая проблема с тем, что гремит рулевая рейка, тяга зависит от заряда батареи( иногда летит как ветер, а иногда двигатель ревет, а разгоняется вяло), двигатели почти всегда расходуют масло, слабый головной свет, туманки часто трескаются, проблемы с подключением автозапуска сигналки, задний ряд сидений немного не комфортен( спинка не регулируется по углу наклона из-за того что мешает гибридная батарея), бывают сильные толчки на паркинге во время запуска двигателя,","Только обслуживание, серьезных поломок не было. Перестала работать помпа инвертора, заменил на сат за 3500."
385," Prius, 2006 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Самый надёжный приус!
Это приус 20!",Низкая,"Менял двигатель, 25 тр, 
Ремонт ввб 6 тр если самому.
Это самые крупные расходы."
386," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичный,Салон бренчит,
387," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Расход, динамика",Маленький,Ничего за 1год.7 мес.
388," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономичный, динамичный",Низкий клиренс,отсутствовали
389," Prius, 1999 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Маленький расход топлива,Кузов,
390," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Это полная универсальность.
1. У нас откидывается задний диван, получается кровать, много места для перевозки при необходимости.
2. У нас двигатель 1.8, но мы спокойно едим по трассе 140+, с динамикой тоже никаких проблем нету.
3. Надёжностью, буквально все служит дольше, чем у обычной машины.
4. Расход топлива как у мопеда.",Все таки возможно хотелось премиальных материалов в отделке.,Не обнаружено
391," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономное очень,Шумка,Ничего
392," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Без проблем заводиться в холодное время года . Очень мягкая подвеска . Малый расход топлива .,Нет такого,Менял пыльник передней стойки амортизатора справа
393," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Расход летом 4л, зимой 6л. по городу","шумоизоляция никакая, металл очень тонкий, машина только для города",Заменены линьки 70 000 пробега
394," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Маленький расход. ""Народный"" автомобиль.",Сразу нужно делать шумоизоляцию и ставить проставки на амортизаторы.,
395," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Маленький расход,Все понравилось,Датчик воздуха
396," Prius, 2016 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Низкий расход топлива, у меня получалось от 2,5 до 4,5 л на 100км
Очень шустрая, мягкая машина. Отличная акустика","Низкий клиренс, шумоизоляцию можно получше.",Ни чего
397," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 S ",Экономичен,Нет,
398," Prius, 2010 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 EX ",экономный,низкий,нет
399," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 S ",Расход бензина,Клиренс,
400," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Одни только плюсы: внешний вид, качество ходовки, интерьер салона. Проехали на ней два круга по России: Дальний Восток-Питер, ни где не подвела. А дорога по России если сказать ужас, ни чего не сказать. Спали на ходу в машине, двое взрослых и ребенок, всем места хватило. Расход ниже заявленного заводом изготовителем на дальние дистанции.",Из минусов не чего  не вылезло. Хотя отьездила она много,Из поломок - стойки поменяны один раз.
401," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 L ",,"Слишком мягкая подвеска, черпает везде брюхом",
402," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 S touring selection ",Маленький расход,Низкая машина,Ввб
403," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономия в топливе,"Комфортный, вместительный","Ходовую часть, замена масла"
404," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Аэродинамика,Низкий,Не ремонтировался ни разу
405," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Расход,,Рулевая рейка
406," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","надежный, практичный",их просто нет,нет
407," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономична, мягкая подвеска , заводится в любую погоду, комфортная , качество сборки, не прихотливая.",Не обнаружил.,
408," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",экономичный,нет,
409," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Очень экономичный,Я не заметил никакие минусы,Если и были поломки то по своей вине
410," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичный (4,5-6,5)
Комфортный (удобно ехать на длинные дистанции)
Надежный (из ремонта за 6 лет, за небольшим исключением, только ходовка)",Проходимость,"140000-230000
Передние стойки 2 раза
Передние тормозные диски
Передние тормозные колодки
Передние сайлентблоки
Рулевой шлейф
Помпа охлаждения инвертора
Лампы"
411," Prius, 2013 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичен,Салон,
412," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Отличный вариант для городского авто,Их нет ,
413," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 S touring selection ","Экономный, резвый.",Нет,Нет
414," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Надёжный,экономичный.",Нет минусов,Нет.
415," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Надёжный,неприхотливый,экономичный,динамичный",Низкий,
416," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономный, шустрый, зимой заводится при - 30 очень легко","Салон весь гремит, особенно зимой",
417," Prius, 2004 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичность, надежность",Не выявлено,Замена расходников
418," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономичен,Все понравилось,Ничего
419," Prius, 1998 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Ходовка вечная, заводится без проблем в любую погоду, мягкий автомобиль.",Не для быстрой езды. Городской поджопник,За время эксплуатации было все отлично!
420," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 EX ",Экономичность,Тусклые фары,Помпу инвертора
421," Prius, 2002 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономный во всех спектрах,,Капремонт подвески
422," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 G touring selection ",Расход,Клиренс,Рейка
423," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 S touring selection ",Надёжный мотор с коробкой и ходовка,Дешёвый пластик в салоне,
424," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Расход,Салон можно и получше,
425," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичный,Их нет,
426," Prius, 2004 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Очень экономичный и неприхотливый автомобиль. ,Не нашёл. ,Нет
427," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Умный (сам решает, когда заводиться, когда глохнуть), резвый, экономичный (летом в среднем 5 л/100 км), приятный салон, просторно как спереди, так и сзади, хорошая штатная музыка, задние сидения раскладываются почти в ровный пол, ""вечные"" тормозные колодки.","Не выдающийся (без изюминки) дизайн, в задней части крыша покатая (рослые пассажиры задевают ее головой), недостаточный клиренс, противотуманки быстро разбиваются камнями.",80000 - сдох штатный дополнительный аккумулятор (замена). 106000 - сломалась помпа инвертора (замена). 150000 - ремонт рулевой рейки (забренчала).
428," Prius, 1999 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Для города отличная машина юркая, маневреная, экономичная.",За время эксплуатации их замеченно не было.,На кузове непольши жизненные коцаки.
429," Prius, 1998 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономичный,"Ввб, люди не берите, их",Ввб двс
430," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономичность, надежность, безопасность","Маркая обшивка салона, слишком много пластика",
431," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Экономия,Нет,Небыло
432," Prius, 2001 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Расход,Неь,Нет
433," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичность, заводится в любой холод без прогрева, не ест бензин в пробках.",,
434," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 S touring selection ",Расход,"Салон, кусок самого дешевого пластика, шумоизоляция",Тойота не ломается
435," Prius, 2009 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Расход маленький,Батарея умирает и начинается масложор,
436," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичен,Пузотерка эконом класса,
437," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 S ",Экономичный,Дешевый пластик,Нет
438," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Ходовая хорошая,Пластиковый салон,Элементы
439," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичный,Седан,Косметика
440," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Динамика. Вид, поворотливость",Шумоизоляция,Ничего
441," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 G LED edition ","Салон кожа, экономичен",Шумоизоляция,Нечего
442," Prius, 2006 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичность.
Надежность
Доступность запчастей
Очень маневренный автомобиль
Динамика
Заводится в любой мороз","Явных недостатков нет. Машина очень сбалансирована по критерию ""цена-качество"". За 7 лет ни одной серьезной поломки. Только расходники и ремонт ходовой по регламенту.",
443," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",4.8л/100км,Рулевая,Нет
444," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 EX ",Гибрид,,
445," Prius, 2010 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 EX ",Маленький расход,Салон нежный,
446," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Неприхотливый,надежный,экономичный.","низкий клиренс,поджирает масло после 150 тысяч пробега,долго греется зимой в -25 -30","расходники,датчик лямбда зонд вырезали катализатор+прошивка под евро2 после забываешь о каких либо ошибках авто оооочень надежный,запуск в любой мороз,настоящий трудяга!!!"
447," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Очень надежный автомобиль,Таковых нет и не может быть.,За время пользования менял масло и колодки.
448," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Экономичный, практичный, непрехотливый.",Ниская посадка.,"Расходники, передние шаровые."
449," Prius, 2006 год, 1500 куб. см., Автомат ",Не прихотливый вообще,Ни чего,Замена рулевой рейки
450," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Надежный, экономичный, просторный салон.",Противотуманные фары не понравились.,Левая тяга с наконечником 144т.км. Инвертор 146т.км.
451," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Гибрид, комфорт",Клиренс,
452," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичный автомобиль, запчасти не дорогие, простой в обслуживании.",Нет,
453," Prius, 1999 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Низкий расход, надёжность, чудо коробка.",Даже не знаю.,Поменял только привода и стойки.
454," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Динамика расход,Пластиковый салон,Нет
455," Prius, 2011 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичен быстр , дёшев",Трудно продать,Менял только задние стойки
456," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Расход топлива.
Комфортная и шустрая.","Если хотите приус, смотрите только в хорошем состоянии, иначе будет просить деньги постоянно.
ДВС ест масло, у всех 20 приусов есть расход масла, если вам говорят, что масло не ест - врут.
Плохо собранный салон, сверчки и прочее.","Батарея, помпа."
457," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод, 1.8 S MY COORDE ","Главный и большой плюс это расход, кто бы, что не говорил ог реально экономит бабосы. И кто пишет, что приус так же жрет, пусть покупают честные машины с нормальными пробегами и снимают свои 17- 18 диски. На 15 комфортно и экономно.","Пластик жесткий и скрипучий,  шумки нету вообще..","Ни чего... самое слабое место это пыльники на стойках, рвутся постоянно, но это копейки. Часто приходится обслуживать тормозные суппорта. Заклинивают. И рулевая рейка если застучала, лучше отдать мастерам с руками, что бы вытачили втулку и забудите навсегда."
458," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Малый расход топлива,Нет,Не было
459," Prius, 2011 год, 1800 куб. см., Бензин, Автомат, Передний привод ","Хороший, экономичный. Масло не ест.",Бензин заливать все равно приходится,Слава богу ничего.
460," Prius, 2005 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Мало кушает бенз,Минусов нет,
461," Prius, 2007 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5h ","Расход топлива, надёжность, опции","Масложор, маленький клиренс",
462," Prius, 2002 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Расход, динамика, дешевые запчасти.",Внешний вид,"Сойки передние на 150 тыс, ступичный подшипник на 130 тыс., обслуживание батареи ВВБ 150 тыс."
463," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Самодиагностика, при появлений каких либо ошибок, за два года, копеечный ремонт, обслуживание только текущие моменты. Крепкая ходовка, за два года минимум вложений. Рекомендую. ",Нет,Отличный авто!
464," Prius, 2010 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичность,Шумоизоляции нет,Ничего
465," Prius, 2006 год, Бензин, Автомат, Передний привод ","Мягкий, экономный, очень резвый",Нету,"По ходовой, супорт, линки"
466," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Отличная машина,куплю такую же новее.",,
467," Prius, 2009 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономичный, лёгок в управлении",Низкий,
468," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",супер экономный,,
469," Prius, 2006 год, 1500 куб. см., Бензин, Автомат, Передний привод ","Экономия, не прихотливый вообще",Нет,Нет
470," Prius, 2008 год, 1500 куб. см., Бензин, Автомат, Передний привод, 1.5 S ","Шикарный был приус. Служил верой и правдой, не нудел за все время владения. Поменял за 5 лет только стойки передние, свечи, дроссель почистил. Все!","Из минусов зазоры на переднем бампере. Внешний вид портило, видать предыдущий хозяин долбонул её. И сделал на скорую руку.","Из неисправностей ещё шлейф перетерся на руле и некоторые кнопки не работали, приходилось лезть в монитор."
471," Prius, 2006 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Расход,Нету таких,Дроссель
472," Prius, 2012 год, 1800 куб. см., Бензин, Автомат, Передний привод ",Экономичность,"Шумоизоляция! , спать в ней не возможно мешают постоянные запуски! ",Не того не с чего сломался компрессор кондиционера. 
473," Prius, 2000 год, 1500 куб. см., Бензин, Автомат, Передний привод ",Самый мягкий приус,отсутствуют,
474," Prius, 2008 год, Гибрид, Передний привод ","-не «убиваемый» автомобиль 
- за 7 лет эксплуатации а/м поменяла только какую -то помпу инвертора )))по сей день не знаю для чего этого штуковина ,зачем я ее меняла ,но отец сказал менять значить менять )))
- летом расход 4-5,зимой доходило и до 10
- к ходовке вопросов нет )
- батарейка по сей день целая и не вредимая )наверное )ибо а/м продала ввиду того что за 7 лет захотелось что -то по новее либо что -то повыше ,не найду если подходящее вернусь к приусу 20 кузове )хотя хотелось бы испробовать Приус в 30 кузове ....
- честно .....как девушка ,обычная девушка которые не фига не ухаживает за машиной как за домом ,и вечно меняла масла потому что «пинка»давал отец )))могу сделать заключение что для женщины это отличное Авто ,там все понятно )и машина мне кажется никогда не сломается!!!поэтому рекомендую)минусы есть )но они не значительны)сейчас вспомню эти минусы ))","Как все поняли ,отзыв оставляла девушка )))не смотря на это я нашла и минусы а/м)))за 7 лет эксплуатации а/м не разу серьёзно не ломался ,естественно после 7-8 тысяч меняла масла и фильтры )это святое ))но все таки о минусах 
- для меня  честно говоря не особо принципиально было но салон сделан из пластика ,и он вечно особенно зимой на кочках трещал !меня это раздражало первый год ,потом привыкла ))) но салон с этим «шикарным» пластиком смотрелся не очень, но скажу что не особо глобально ,так как смотрю Приус для себя сейчас в 30 кузове,так вот пластик в салоне приуса в 30 кузове ещё  хуже )))))
- пока писала про минус внешне, вспомнила ещё один минус который раздражал два года )))вообщем живу в Хабаровске ,зимы бывают разные ,а бывает как долбанет минус а надо ехать ,а машина греется ужас как долго !автопрогрева не было ,поэтому завела а/м минус 15 пляшу возле а/м так как в самом салоне а/м ещё холоднее ,после 15 мин садишься ,там все равно холодно ))))вообще едешь до пункта назначения , уже приехал .....и о боже Приус прогрелся ))но я уже привыкла после 2 лет зимы )купила перчатки руки не мёрзнут на руле теперь все ок))",
